url,price,title
https://www.olx.com.pk/item/malaysian-palm-tree-IDV5S89.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 5,000</strong>",Malaysian Palm tree
https://www.olx.com.pk/item/dunya-termite-conterol-IDV5RQs.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,500</strong>",Dunya termite conterol
https://www.olx.com.pk/item/deemak-control-pest-control-since-1988-pvt-ltd-IDV5T8i.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,000</strong>",Deemak Control/pest Control (since 1988)( Pvt. Ltd).
https://www.olx.com.pk/item/vegetable-available-for-sale-IDV5PK5.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 600</strong>",Vegetable available for sale
https://www.olx.com.pk/item/kett-f506-rice-moisture-meter-IDWVLg0.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 49,500</strong>",Kett f506 Rice Moisture Meter
https://www.olx.com.pk/item/lawn-mower-imported-IDWGX1G.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 28,000</strong>",Lawn Mower Imported
https://www.olx.com.pk/item/lathyrus-odoratus-dwarf-sweet-pea-bijou-mix-flower-15-seeds-IDV5Rw6.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 65</strong>",Lathyrus odoratus dwarf Sweet Pea Bijou Mix Flower (15) Seeds
https://www.olx.com.pk/item/ford-3610-speshal-tara-rem-IDV5D2C.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 9,00,000</strong>",Ford 3610 speshal tara rem
https://www.olx.com.pk/item/new-holland-8060-IDV5BxY.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 26,00,000</strong>",New Holland 8060
https://www.olx.com.pk/item/wheat-or-gandam-IDV5CZi.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,250</strong>",Wheat or gandam
https://www.olx.com.pk/item/800-per-kg-800-gm-moringa-powder-full-nutrition-for-health-IDV4qgq.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 800</strong>",800 per kg 800 gm Moringa powder full nutrition for health
https://www.olx.com.pk/item/4-in-1-soil-ph-moisture-temprature-and-light-meter-digital-IDWAk6w.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 4,000</strong>",4 in 1 soil ph moisture temprature and light meter digital
https://www.olx.com.pk/item/ph-meter-for-soil-IDW9xwC.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Ph meter for soil
https://www.olx.com.pk/item/digital-soil-ph-meter-IDWAk5l.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 4,000</strong>",Digital soil ph meter
https://www.olx.com.pk/item/grain-moisture-meter-IDWsqIF.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 5,000</strong>",Grain moisture meter
https://www.olx.com.pk/item/lathyrus-spencer-duchy-of-cambridge-sweet-pea-flower-5-seeds-IDV5vfW.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Lathyrus Spencer Duchy of Cambridge Sweet Pea Flower (5) Seeds
https://www.olx.com.pk/item/dahlia-variabilis-pompone-double-mix-flower-20-seeds-IDV5vnQ.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 70</strong>",Dahlia variabilis Pompone Double Mix Flower (20) Seeds
https://www.olx.com.pk/item/lychnis-chalcedonia-maltese-cross-flower-100-seeds-IDV5vuo.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60</strong>",Lychnis chalcedonia Maltese-Cross Flower (100) Seeds
https://www.olx.com.pk/item/bonsai-pear-tree-seed-IDV5xMe.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Bonsai Pear Tree Seed
https://www.olx.com.pk/item/japanese-sweets-pitaya-IDV5xKN.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Japanese sweets Pitaya
https://www.olx.com.pk/item/climbing-bonsai-apple-seeds-IDV5xPk.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Climbing Bonsai Apple Seeds
https://www.olx.com.pk/item/pro-active-pest-repelling-IDWIH4E.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Pro active Pest Repelling
https://www.olx.com.pk/item/bonsai-figs-seeds-IDV5xT1.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Bonsai Figs Seeds
https://www.olx.com.pk/item/bonsai-watermelon-seeds-IDV5xVz.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,500</strong>",Bonsai Watermelon Seeds
https://www.olx.com.pk/item/biflex-termite-chemical-100-original-fmc-australia-IDWI1Jp.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,375</strong>","BIflex ,Termite Chemical.100 % Original FMC AUSTRALIA"
https://www.olx.com.pk/item/gandum-bharoola-IDV5ykG.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 6,000</strong>",Gandum Bharoola
https://www.olx.com.pk/item/ddvp-chemical-50-ec-IDWPltG.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,200</strong>",DDVP Chemical 50%EC
https://www.olx.com.pk/item/dianthus-chin-diana-select-mix-flower-10-seeds-IDV5tOD.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 70</strong>",Dianthus chin Diana Select Mix Flower (10) Seeds
https://www.olx.com.pk/item/pest-spray-termite-control-fumigation-garden-spray-bed-bugs-dengu-IDWTjfo.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,500</strong>",Pest Spray .TERMITE CONTROL.fumigation.garden Spray.bed Bugs .Dengu
https://www.olx.com.pk/item/soundproofing-existing-expert-designer-IDWyZtg.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 30,000</strong>",SoundProofing & Existing Expert Designer
https://www.olx.com.pk/item/agriculture-grade-IDWQvos.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 65</strong>","""Agriculture Grade""!"
https://www.olx.com.pk/item/solar-submersible-borehole-pumps-price-rawalpindi-IDWknc7.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 32,000</strong>",Solar submersible borehole pumps price Rawalpindi
https://www.olx.com.pk/item/10-hp-submersible-pumps-4-inches-discharge-size-o33353o2578-IDWjVYQ.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 78,000</strong>",10 HP submersible pumps 4 inches discharge size O33353o2578
https://www.olx.com.pk/item/1000kg-per-hour-new-small-rice-sheller-rice-milling-machine-IDWr1r2.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 10,55,000</strong>",1000Kg Per hour New Small Rice Sheller .Rice Milling Machine
https://www.olx.com.pk/item/encp-centrifugal-pump-IDWPMzo.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 45,000</strong>",ENCP Centrifugal Pump
https://www.olx.com.pk/item/gazania-kiss-frosty-orange-flame-flower-10-seeds-IDV5tg5.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 75</strong>",Gazania Kiss Frosty Orange Flame Flower (10) Seeds
https://www.olx.com.pk/item/rice-sheller-small-rice-milling-machine-1000kg-rice-per-hour-IDWqkDL.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 10,80,000</strong>",Rice sheller Small rice milling Machine 1000kg rice per hour
https://www.olx.com.pk/item/horizontal-pump-for-agriculture-water-supply-5-x-4-inches-IDWjYLH.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,25,000</strong>","Horizontal pump for Agriculture, water supply, 5 x 4 inches"
https://www.olx.com.pk/item/pest-repelling-thought-full-IDWIFEl.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Pest Repelling Thought full
https://www.olx.com.pk/item/encp-from-sec-the-efficient-standardized-water-pump-centrifugal-IDWVMft.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 62,000</strong>",ENCP from SEC: the efficient standardized water pump | Centrifugal
https://www.olx.com.pk/item/solar-energy-system-l-existing-3-hp-motor-l-complete-system-IDWMCtT.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,40,000</strong>",Solar Energy System l Existing 3 HP Motor l Complete System
https://www.olx.com.pk/item/solar-tubewell-pumping-system-3hp-125hp-IDWxe7P.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,25,000</strong>",Solar Tubewell Pumping system. 3HP -125HP
https://www.olx.com.pk/item/agriculture-centrifugal-pump-model-65-200-available-at-soherwardia-IDWVMfQ.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 68,000</strong>",Agriculture Centrifugal Pump - Model 65-200 Available at Soherwardia
https://www.olx.com.pk/item/solar-tube-well-pumps-l-wholesale-rates-l-o3135534ll3-IDWGLOb.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 225</strong>",Solar Tube well Pumps l wholesale Rates l o3135534ll3
https://www.olx.com.pk/item/new-holland-8070-1987-model-IDV5r6H.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 46,00,000</strong>",New Holland 8070 1987 model
